lastName,firstName,playerId,isAmateur,courseId,status,position,total,currentRoundScore,totalStrokesFromCompletedRounds,currentHole,startingHole,roundComplete,rounds,thru,currentRound,teeTime,teeTimeTimestamp,tournament_name,fetched_at
Griffin,Lanto,35310,False,922,complete,1,-9,-7,271,{'$numberInt': '18'},{'$numberInt': '1'},True,"[{'scoreToPar': '-3', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '67'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '+2', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '72'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '-1', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '69'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '-7', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '63'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}]",F,{'$numberInt': '4'},9:50am,{'$date': {'$numberLong': '1734274200000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Buckley,Hayden,55708,False,922,complete,2,-6,-3,274,{'$numberInt': '18'},{'$numberInt': '1'},True,"[{'scoreToPar': '-2', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '68'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '+2', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '72'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '-3', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '67'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '-3', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '67'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}]",F,{'$numberInt': '4'},10:00am,{'$date': {'$numberLong': '1734274800000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Kanaya,Takumi,47917,False,922,complete,3,-5,-1,275,{'$numberInt': '18'},{'$numberInt': '1'},True,"[{'scoreToPar': '-2', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '68'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': 'E', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '70'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '-2', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '68'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '-1', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '69'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}]",F,{'$numberInt': '4'},10:10am,{'$date': {'$numberLong': '1734275400000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Tosti,Alejandro,38991,False,922,complete,T4,-4,-4,276,{'$numberInt': '18'},{'$numberInt': '1'},True,"[{'scoreToPar': '+1', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '71'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '+4', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '74'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '-5', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '65'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '-4', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '66'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}]",F,{'$numberInt': '4'},9:30am,{'$date': {'$numberLong': '1734273000000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Chandler,Will,58933,False,922,complete,T4,-4,-4,276,{'$numberInt': '18'},{'$numberInt': '1'},True,"[{'scoreToPar': '+1', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '71'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '+2', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '72'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '-3', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '67'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '-4', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '66'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}]",F,{'$numberInt': '4'},9:40am,{'$date': {'$numberLong': '1734273600000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Riedel,Matthew,64693,False,922,complete,T4,-4,+2,276,{'$numberInt': '18'},{'$numberInt': '1'},True,"[{'scoreToPar': '-2', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '68'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '-1', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '69'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '-3', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '67'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '+2', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '72'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}]",F,{'$numberInt': '4'},10:10am,{'$date': {'$numberLong': '1734275400000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Docherty,Alistair,51680,False,922,complete,7,-3,+3,277,{'$numberInt': '18'},{'$numberInt': '1'},True,"[{'scoreToPar': '+1', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '71'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '-4', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '66'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '-3', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '67'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '+3', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '73'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}]",F,{'$numberInt': '4'},10:10am,{'$date': {'$numberLong': '1734275400000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Hirata,Kensei,49120,False,922,complete,T8,-2,-6,278,{'$numberInt': '9'},{'$numberInt': '10'},True,"[{'scoreToPar': '-1', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '69'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '+4', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '74'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '+1', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '71'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '-6', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '64'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}]",F*,{'$numberInt': '4'},8:00am,{'$date': {'$numberLong': '1734267600000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Watney,Nick,27095,False,922,complete,T8,-2,-5,278,{'$numberInt': '18'},{'$numberInt': '1'},True,"[{'scoreToPar': '+2', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '72'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '-1', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '69'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '+2', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '72'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '-5', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '65'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}]",F,{'$numberInt': '4'},8:10am,{'$date': {'$numberLong': '1734268200000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
Dumont de Chassart,Adrien,50497,False,922,complete,T8,-2,-3,278,{'$numberInt': '18'},{'$numberInt': '1'},True,"[{'scoreToPar': '+3', 'roundId': {'$numberInt': '1'}, 'strokes': {'$numberInt': '73'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '+1', 'roundId': {'$numberInt': '2'}, 'strokes': {'$numberInt': '71'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '-3', 'roundId': {'$numberInt': '3'}, 'strokes': {'$numberInt': '67'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}, {'scoreToPar': '-3', 'roundId': {'$numberInt': '4'}, 'strokes': {'$numberInt': '67'}, 'courseId': '922', 'courseName': ""Dye's Valley Course""}]",F,{'$numberInt': '4'},9:10am,{'$date': {'$numberLong': '1734271800000'}},PGA TOUR Q-School presented by Korn Ferry,2025-11-11T16:31:47.199448
