Name,WinProbability
Brian Harman,0.12765571
Akshay Bhatia,0.1244483
Max Greyserman,0.1222261
Davis Thompson,0.114143744
Sepp Straka,0.10950343
Patrick Cantlay,0.09537487
Justin Thomas,0.09431793
Wyndham Clark,0.09296072
Sam Burns,0.08953774
Austin Eckroat,0.08069009
Keegan Bradley,0.07355866
Tony Finau,0.072862625
Byeong-Hun An,0.071896724
Max Homa,0.07120634
Aaron Rai,0.06756443
Sung-Jae Im,0.06727827
Maverick McNealy,0.06552815
Matthieu Pavon,0.06552815
Nick Dunlap,0.059904814
Xander Schauffele,0.05912863
JT Poston,0.057442356
Alexander Noren,0.057327725
Adam Scott,0.056048557
Viktor Hovland,0.053241987
Hideki Matsuyama,0.052169368
Ludvig Aberg,0.049317464
Collin Morikawa,0.049317464
Stephan Jaeger,0.04663401
Billy Horschel,0.045352828
Russell Henley,0.044492017
Thomas Detry,0.040533923
Robert MacIntyre,0.040154222
Sahith Theegala,0.040154222
Cameron Young,0.03644947
Jason Day,0.03644947
Cam Davis,0.035500523
Chris Kirk,0.035500523
Tom Hoge,0.03287941
Kevin Yu,0.030539498
Will Zalatoris,0.030539498
Peter Malnati,0.029820453
Corey Conners,0.026318366
Jhonattan Vegas,0.023403924
Nicolas Echavarria,0.020606177
Nick Taylor,0.020606177
Denny McCarthy,0.013619419
Matt Fitzpatrick,0.013619419
Eric Cole,0.013397562
Adam Hadwin,0.013397562
Si Woo Kim,0.013397562
Christiaan Bezuidenhout,0.0131353205
Jake Knapp,0.009354299
Davis Riley,0.009291029
Harry Hall,0.0089919185
Patton Kizzire,0.0089919185
Taylor Pendrith,0.00838238
Matt McCarty,0.00838238
Rafael Campos,0.0052796933
Christopher Gotterup,0.0025424748
Brice Garnett,0.002256624
